smiles,zinc_id,minimal_disttoref,consensus_sars,tox_counts,ct_tox
S=C(NCCc1ccccn1)NN=C1CCSc2c(Cl)cccc21,ZINC000731926978,0.666667,0.808092,5,0.051537
Cn1cnc2cc(C=NNC(=S)Nc3cccc(Cl)c3)ccc21,ZINC000761251685,0.540984,0.808089,6,0.067075
Cc1ccc(NC(=S)NN=Cc2cn3cc(Cl)ccc3n2)cc1,ZINC000920363431,0.646154,0.808025,7,0.050693
S=C(NNc1cnnc2ccccc12)Nc1ccc(Cl)nc1,ZINC000733755698,0.728814,0.808023,9,0.052805
S=C(NCCc1ccccn1)NN=C1CCOc2c(Cl)cccc21,ZINC000814828215,0.661290,0.807986,6,0.051345
S=C(NCCc1ccc(Cl)cc1)NN=C1CCn2ccnc21,ZINC000834930769,0.661017,0.807957,6,0.055979
S=C(NNc1ccc(Cl)nc1)Nc1ccc2ccccc2c1,ZINC000743061884,0.678571,0.807912,14,0.050789
S=C(NNc1ccc2ccccc2n1)Nc1ccc(Cl)cc1,ZINC000916112199,0.590909,0.807859,8,0.051012
O=c1ccc(Br)cn1Cc1cccc2ccccc12,ZINC000014736313,0.730769,0.807789,2,0.156444
S=C(Nc1nc2ccccc2nc1Cl)Nc1cccc2ccccc12,ZINC001200097245,0.647059,0.807717,4,0.053415
CCn1c2ccccc2c2cc(C=NNC(=S)NCC(F)(F)F)ccc21,ZINC000746495160,0.629032,0.807662,4,0.054291
C[C@H]1CC(=NNC(=S)Nc2ccccn2)c2ccccc21,ZINC000807978492,0.576923,0.807657,3,0.050663
CCn1c(C(C)=NNC(=S)NCC(F)(F)F)nc2ccccc21,ZINC000741460262,0.687500,0.807504,4,0.051213
Cc1ccc2ncc(C=NNC(=S)NCC(F)(F)F)n2c1,ZINC000755674650,0.681159,0.807445,3,0.050623
CSCCNC(=S)NN=C(C)c1nc2ccccc2n1C(F)F,ZINC000769601704,0.634921,0.807434,5,0.059094
COc1ccc(NC(=S)NN=Cc2cn3cc(Cl)ccc3n2)cc1,ZINC000920360582,0.600000,0.807413,9,0.054900
CC(=NNC(=S)NCc1ccc(F)cc1)c1nc2ccccc2n1C(F)F,ZINC000812456759,0.686567,0.807356,4,0.075073
